Verstappen,104
Hamilton,72
Pérez,75
Jr,58
Russell,52
Alonso,81
Leclerc,44
Gasly,31
Ocon,37
Stroll,36
Norris,24
Piastri,22
Bottas,20
Hülkenberg,20
Magnussen,17
Tsunoda,23
Guanyu,19
Albon,20
Vries,12
Sargeant,7
